Arial Character Width Table
======================================================================
Font Size: 12pt
----------------------------------------------------------------------
 Char  | ASCII  | Width (px) |  Relative to x 
  Q    |   81   |   12.45    |      1.56      
  R    |   82   |   11.56    |      1.45      
  S    |   83   |   10.67    |      1.33      
  T    |   84   |    9.78    |      1.22      
  U    |   85   |   11.56    |      1.45      
  V    |   86   |   10.67    |      1.33      
  W    |   87   |   15.11    |      1.89      
  X    |   88   |   10.67    |      1.33      
  Y    |   89   |   10.67    |      1.33      
  Z    |   90   |    9.78    |      1.22      
  [    |   91   |    4.45    |      0.56      
  \    |   92   |    4.45    |      0.56      
  ]    |   93   |    4.45    |      0.56      
  ^    |   94   |    7.52    |      0.94      
  _    |   95   |    8.00    |      1.00      
  `    |   96   |    5.33    |      0.67      
  a    |   97   |    8.91    |      1.11      
  b    |   98   |    8.91    |      1.11      
  c    |   99   |    8.00    |      1.00      
  d    |  100   |    8.91    |      1.11      
  e    |  101   |    8.91    |      1.11      
  f    |  102   |    4.45    |      0.56      
  g    |  103   |    8.91    |      1.11      
  h    |  104   |    8.91    |      1.11      
  i    |  105   |    3.56    |      0.45      
  j    |  106   |    3.56    |      0.45      
  k    |  107   |    8.00    |      1.00      
  l    |  108   |    3.56    |      0.45      
  m    |  109   |   13.33    |      1.67      
  n    |  110   |    8.91    |      1.11      
  o    |  111   |    8.91    |      1.11      
  p    |  112   |    8.91    |      1.11      
  q    |  113   |    8.91    |      1.11      
  r    |  114   |    5.33    |      0.67      
  s    |  115   |    8.00    |      1.00      
  t    |  116   |    4.45    |      0.56      
  u    |  117   |    8.91    |      1.11      
  v    |  118   |    8.00    |      1.00      
  w    |  119   |   11.56    |      1.45      
  x    |  120   |    8.00    |      1.00      
  y    |  121   |    8.00    |      1.00      
  z    |  122   |    8.00    |      1.00      
  {    |  123   |    5.34    |      0.67      
  |    |  124   |    4.16    |      0.52      
  }    |  125   |    5.34    |      0.67      
  ~    |  126   |    9.34    |      1.17      



Character Groups by Relative Width
======================================================================
Width 0.4x: ' i j l
Width 0.5x: |
Width 0.6x:   ! , . / : ; I [ \ ] f t
Width 0.7x: " ( ) - ` r { }
Width 0.8x: *
Width 0.9x: ^
Width 1.0x: J _ c k s v x y z
Width 1.1x: # $ 0 1 2 3 4 5 6 7 8 9 ? L a b d e g h n o p q u
Width 1.2x: + < = > F T Z ~
Width 1.3x: & A B E K P S V X Y
Width 1.4x: C D H N R U w
Width 1.6x: G O Q
Width 1.7x: M m
Width 1.8x: %
Width 1.9x: W
Width 2.0x: @


Sample Text Width Calculations
======================================================================
Font Size: 12pt
----------------------------------------------------------------------
'Hello World': 62.03px
'This is a test of the emergency broadcast system': 260.69px
'☐ This is a checkbox item': 136.83px


Font Size: 14pt
----------------------------------------------------------------------
'Hello World': 72.33px
'This is a test of the emergency broadcast system': 304.14px
'☐ This is a checkbox item': 159.62px


Font Size: 16pt
----------------------------------------------------------------------
'Hello World': 82.77px
'This is a test of the emergency broadcast system': 347.97px
'☐ This is a checkbox item': 182.61px




Checklist Item Width Analysis
======================================================================
Font Size: 12pt (standard for checklist)
----------------------------------------------------------------------
Character Count | Total Width | Fits on Line?
----------------------------------------------------------------------
70 chars | 446.31px | YES
71 chars | 452.31px | YES
72 chars | 458.98px | YES
73 chars | 464.98px | YES
74 chars | 471.66px | NO
75 chars | 477.66px | NO
76 chars | 484.33px | NO
77 chars | 490.33px | NO
78 chars | 497.00px | NO
79 chars | 503.00px | NO
80 chars | 509.67px | NO
81 chars | 515.67px | NO
82 chars | 522.34px | NO
